Instance BKS Opt
u/BPPC_1_0_1 48 1
u/BPPC_1_0_2 49 1
u/BPPC_1_0_3 46 1
u/BPPC_1_0_4 49 1
u/BPPC_1_0_5 50 1
u/BPPC_1_0_6 48 1
u/BPPC_1_0_7 48 1
u/BPPC_1_0_8 49 1
u/BPPC_1_0_9 50 1
u/BPPC_1_0_10 46 1
u/BPPC_1_1_1 48 1
u/BPPC_1_1_2 49 1
u/BPPC_1_1_3 46 1
u/BPPC_1_1_4 49 1
u/BPPC_1_1_5 50 1
u/BPPC_1_1_6 48 1
u/BPPC_1_1_7 48 1
u/BPPC_1_1_8 49 1
u/BPPC_1_1_9 50 1
u/BPPC_1_1_10 46 1
u/BPPC_1_2_1 48 1
u/BPPC_1_2_2 49 1
u/BPPC_1_2_3 46 1
u/BPPC_1_2_4 49 1
u/BPPC_1_2_5 50 1
u/BPPC_1_2_6 48 1
u/BPPC_1_2_7 48 1
u/BPPC_1_2_8 49 1
u/BPPC_1_2_9 50 1
u/BPPC_1_2_10 46 1
u/BPPC_1_3_1 48 1
u/BPPC_1_3_2 49 1
u/BPPC_1_3_3 46 1
u/BPPC_1_3_4 49 1
u/BPPC_1_3_5 50 1
u/BPPC_1_3_6 48 1
u/BPPC_1_3_7 48 1
u/BPPC_1_3_8 49 1
u/BPPC_1_3_9 50 1
u/BPPC_1_3_10 46 1
u/BPPC_1_4_1 48 1
u/BPPC_1_4_2 53 1
u/BPPC_1_4_3 54 1
u/BPPC_1_4_4 49 1
u/BPPC_1_4_5 50 1
u/BPPC_1_4_6 52 1
u/BPPC_1_4_7 55 1
u/BPPC_1_4_8 59 1
u/BPPC_1_4_9 54 1
u/BPPC_1_4_10 54 1
u/BPPC_1_5_1 65 1
u/BPPC_1_5_2 67 1
u/BPPC_1_5_3 65 1
u/BPPC_1_5_4 58 1
u/BPPC_1_5_5 57 1
u/BPPC_1_5_6 65 1
u/BPPC_1_5_7 65 1
u/BPPC_1_5_8 71 1
u/BPPC_1_5_9 65 1
u/BPPC_1_5_10 65 1
u/BPPC_1_6_1 76 1
u/BPPC_1_6_2 80 1
u/BPPC_1_6_3 75 1
u/BPPC_1_6_4 70 1
u/BPPC_1_6_5 72 1
u/BPPC_1_6_6 78 1
u/BPPC_1_6_7 74 1
u/BPPC_1_6_8 81 1
u/BPPC_1_6_9 78 1
u/BPPC_1_6_10 74 1
u/BPPC_1_7_1 87 1
u/BPPC_1_7_2 91 1
u/BPPC_1_7_3 88 1
u/BPPC_1_7_4 82 1
u/BPPC_1_7_5 85 1
u/BPPC_1_7_6 90 1
u/BPPC_1_7_7 86 1
u/BPPC_1_7_8 88 1
u/BPPC_1_7_9 93 1
u/BPPC_1_7_10 85 1
u/BPPC_1_8_1 97 1
u/BPPC_1_8_2 99 1
u/BPPC_1_8_3 99 1
u/BPPC_1_8_4 94 1
u/BPPC_1_8_5 99 1
u/BPPC_1_8_6 99 1
u/BPPC_1_8_7 95 1
u/BPPC_1_8_8 99 1
u/BPPC_1_8_9 105 1
u/BPPC_1_8_10 97 1
u/BPPC_1_9_1 110 1
u/BPPC_1_9_2 107 1
u/BPPC_1_9_3 114 1
u/BPPC_1_9_4 110 1
u/BPPC_1_9_5 111 1
u/BPPC_1_9_6 110 1
u/BPPC_1_9_7 107 1
u/BPPC_1_9_8 110 1
u/BPPC_1_9_9 112 1
u/BPPC_1_9_10 107 1
u/BPPC_2_0_1 99 1
u/BPPC_2_0_2 100 1
