# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cpu/cycles/Pu'
# Event count (approx.): 117342576092
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .........  ....................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    84.10%  test_ails  test_ails             [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::find(int const&) const
     2.92%  test_ails  test_ails             [.] BPPCSolution::itemConflicts(int, int) const
     2.47%  test_ails  test_ails             [.] BPPCSolution::deltaSwap(int, int, int, int, int, int, int) const
     1.42%  test_ails  test_ails             [.] BPPCSolution::deltaRemove(int, int, int, int, int) const
     1.40%  test_ails  test_ails             [.] BPPCSolution::deltaAdd(int, int, int, int, int) const
     1.03%  test_ails  test_ails             [.] BPPCSolution::deltaMove(int, int, int, int, int, int) const
     0.94%  test_ails  test_ails             [.] LocalSearch::exchange()
     0.90%  test_ails  libc.so.6             [.] _int_malloc
     0.85%  test_ails  test_ails             [.] std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > const*, std::vector<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >, std::allocator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > const*, std::vector<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >, std::allocator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > > >, std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > const*, std::vector<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >, std::allocator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > const*, std::vector<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >, std::allocator<std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> > > > >, std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >*)
     0.70%  test_ails  test_ails             [.] LocalSearch::relocation()
     0.59%  test_ails  test_ails             [.] BPPCSolution::deltaRemoveMultiple(std::vector<int, std::allocator<int> > const&, int, int, int, int) const
     0.56%  test_ails  libc.so.6             [.] malloc_consolidate
     0.31%  test_ails  libc.so.6             [.] _int_free_chunk
     0.23%  test_ails  libc.so.6             [.] cfree@GLIBC_2.2.5
     0.21%  test_ails  libc.so.6             [.] unlink_chunk.isra.0
     0.17%  test_ails  libc.so.6             [.] __libc_malloc2
     0.17%  test_ails  libc.so.6             [.] malloc
     0.14%  test_ails  test_ails             [.] void std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_assign<std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> > const&, std::__detail::_ReuseOrAllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> > const&, std::__detail::_ReuseOrAllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >&)
     0.13%  test_ails  test_ails             [.] std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<int, false>*, unsigned long)
     0.11%  test_ails  libstdc++.so.6.0.34   [.] operator new(unsigned long)
     0.09%  test_ails  test_ails             [.] AILS::run()
     0.07%  test_ails  test_ails             [.] std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_emplace_uniq<int const&>(int const&) [clone .isra.0]
     0.05%  test_ails  [unknown]             [k] 0xffffffffb1c01968
     0.04%  test_ails  libc.so.6             [.] __memset_avx2_unaligned_erms
     0.04%  test_ails  test_ails             [.] BPPCSolution::removeEmptyBins()
     0.04%  test_ails  libstdc++.so.6.0.34   [.] std::istreambuf_iterator<char, std::char_traits<char> > std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<long>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, long&) const
     0.03%  test_ails  libstdc++.so.6.0.34   [.] operator delete(void*)
     0.03%  test_ails  libstdc++.so.6.0.34   [.] operator delete(void*)@plt
     0.03%  test_ails  libstdc++.so.6.0.34   [.] malloc@plt
     0.03%  test_ails  libc.so.6             [.] alloc_perturb
     0.03%  test_ails  test_ails             [.] operator delete(void*, unsigned long)@plt
     0.02%  test_ails  test_ails             [.] operator new(unsigned long)@plt
     0.02%  test_ails  libstdc++.so.6.0.34   [.] free@plt
     0.02%  test_ails  libstdc++.so.6.0.34   [.] operator delete(void*, unsigned long)
     0.02%  test_ails  test_ails             [.] readInstance(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
